date,mood,identifier,gender
29/08/2022,4,Arnald,Female
30/08/2022,3,Arnald,Female
31/08/2022,4,Arnald,Female
01/09/2022,3,Arnald,Female
02/09/2022,4,Arnald,Female
03/09/2022,4,Arnald,Female
04/09/2022,4,Arnald,Female
05/09/2022,5,Arnald,Female
06/09/2022,4,Arnald,Female
07/09/2022,4,Arnald,Female
08/09/2022,3,Arnald,Female
09/09/2022,4,Arnald,Female
10/09/2022,4,Arnald,Female
11/09/2022,3,Arnald,Female
12/09/2022,4,Arnald,Female
13/09/2022,3,Arnald,Female
14/09/2022,4,Arnald,Female
15/09/2022,4,Arnald,Female
16/09/2022,4,Arnald,Female
17/09/2022,4,Arnald,Female
18/09/2022,4,Arnald,Female
19/09/2022,3,Arnald,Female
20/09/2022,3,Arnald,Female
21/09/2022,3,Arnald,Female
11/08/2022,4,Phoenix,Female
12/08/2022,3,Phoenix,Female
13/08/2022,2,Phoenix,Female
14/08/2022,2,Phoenix,Female
15/08/2022,9,Phoenix,Female
16/08/2022,10,Phoenix,Female
17/08/2022,8,Phoenix,Female
18/08/2022,7,Phoenix,Female
19/08/2022,7,Phoenix,Female
20/08/2022,10,Phoenix,Female
21/08/2022,8,Phoenix,Female
22/08/2022,7,Phoenix,Female
23/08/2022,6,Phoenix,Female
24/08/2022,5,Phoenix,Female
25/08/2022,5,Phoenix,Female
26/08/2022,4,Phoenix,Female
27/08/2022,3,Phoenix,Female
28/08/2022,1,Phoenix,Female
29/08/2022,3,Phoenix,Female
30/08/2022,10,Phoenix,Female
31/08/2022,10,Phoenix,Female
01/09/2022,8,Phoenix,Female
02/09/2022,8,Phoenix,Female
03/09/2022,6,Phoenix,Female
04/09/2022,5,Phoenix,Female
05/09/2022,4,Phoenix,Female
06/09/2022,7,Phoenix,Female
07/09/2022,6,Phoenix,Female
08/09/2022,5,Phoenix,Female
09/09/2022,4,Phoenix,Female
10/09/2022,2,Phoenix,Female
11/09/2022,10,Phoenix,Female
12/09/2022,8,Phoenix,Female
13/09/2022,7,Phoenix,Female
14/09/2022,7,Phoenix,Female
15/09/2022,9,Phoenix,Female
16/09/2022,8,Phoenix,Female
17/09/2022,6,Phoenix,Female
18/09/2022,7,Phoenix,Female
19/09/2022,6,Phoenix,Female
20/09/2022,5,Phoenix,Female
21/09/2022,4,Phoenix,Female
